,precision,recall,f1-score,support
0,0.9467496542185339,0.9506944444444444,0.9487179487179486,2880.0
1,0.9495917642882499,0.9288194444444444,0.9390907495172898,2880.0
2,0.965270684371808,0.984375,0.9747292418772563,2880.0
3,1.0,0.9979166666666667,0.9989572471324296,2880.0
accuracy,0.9654513888888889,0.9654513888888889,0.9654513888888889,0.9654513888888889
macro avg,0.965403025719648,0.9654513888888889,0.965373796811231,11520.0
weighted avg,0.9654030257196479,0.9654513888888889,0.9653737968112311,11520.0
