,precision,recall,f1-score,support
0,0.739646772228989,0.8434027777777777,0.7881245944192082,2880.0
1,0.9537110933758979,0.4149305555555556,0.5782724413259134,2880.0
2,0.7024712503058478,0.996875,0.8241710922922347,2880.0
3,0.9941298342541437,0.9996527777777777,0.9968836565096952,2880.0
accuracy,0.8137152777777777,0.8137152777777777,0.8137152777777777,0.8137152777777777
macro avg,0.8474897375412196,0.8137152777777776,0.7968629461367629,11520.0
weighted avg,0.8474897375412196,0.8137152777777777,0.7968629461367628,11520.0
