,precision,recall,f1-score,support
0,0.9910065721203736,0.9947916666666666,0.9928955120429733,2880.0
1,0.9927058006252171,0.9923611111111111,0.9925334259420038,2880.0
2,0.9986072423398329,0.9958333333333333,0.9972183588317107,2880.0
3,0.9996525364836693,0.9989583333333333,0.9993053143452587,2880.0
accuracy,0.9954861111111111,0.9954861111111111,0.9954861111111111,0.9954861111111111
macro avg,0.9954930378922732,0.9954861111111111,0.9954881527904866,11520.0
weighted avg,0.9954930378922733,0.9954861111111111,0.9954881527904866,11520.0
