,precision,recall,f1-score,support
0,0.5283489096573208,0.5888888888888889,0.5569786535303777,2880.0
1,0.4024522178146412,0.3875,0.39483460109676277,2880.0
2,0.6434487951807228,0.5934027777777777,0.6174132947976878,2880.0
3,0.9993057965984034,0.9996527777777777,0.9994792570734248,2880.0
accuracy,0.6423611111111112,0.6423611111111112,0.6423611111111112,0.6423611111111112
macro avg,0.6433889298127721,0.6423611111111112,0.6421764516245633,11520.0
weighted avg,0.643388929812772,0.6423611111111112,0.6421764516245633,11520.0
