,precision,recall,f1-score,support
0,0.5376112159611756,0.6923611111111111,0.6052511762027621,2880.0
1,0.4154013015184382,0.2659722222222222,0.32430143945808637,2880.0
2,0.5457535885167464,0.6336805555555556,0.586439588688946,2880.0
3,0.9778879146016012,0.890625,0.9322187897510449,2880.0
accuracy,0.6206597222222222,0.6206597222222222,0.6206597222222222,0.6206597222222222
macro avg,0.6191635051494904,0.6206597222222222,0.6120527485252099,11520.0
weighted avg,0.6191635051494904,0.6206597222222222,0.6120527485252099,11520.0
