,precision,recall,f1-score,support
NonDemented,0.25009861932938854,0.44027777777777777,0.31899371069182386,2880.0
VeryMildDemented,0.20030349013657056,0.04583333333333333,0.07459734388245266,2880.0
MildDemented,0.2524905530745448,0.2552083333333333,0.2538421688827491,2880.0
ModerateDemented,0.24270833333333333,0.24270833333333333,0.24270833333333333,2880.0
accuracy,0.24600694444444443,0.24600694444444443,0.24600694444444443,0.24600694444444443
macro avg,0.2364002489684593,0.24600694444444443,0.22253538919758972,11520.0
weighted avg,0.2364002489684593,0.24600694444444443,0.22253538919758972,11520.0
